ppe_id,ppe_class,person_id,score
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
1,helmet,22,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5275999903678894
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
2,no_helmet,22,0.0
3,vest,1,0.0
3,vest,2,0.8337000012397766
3,vest,3,0.0
3,vest,5,0.0
3,vest,6,0.0
3,vest,11,0.0
3,vest,12,0.0
3,vest,22,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.5299000144004822
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
0,no_helmet,22,0.0
1,helmet,1,0.0
1,helmet,2,0.788100004196167
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
1,helmet,22,0.0
2,no_helmet,1,0.5342000126838684
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
2,no_helmet,22,0.0
0,helmet,1,0.0
0,helmet,2,0.7886999845504761
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
0,helmet,12,0.0
0,helmet,22,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5284000039100647
1,no_helmet,6,0.0
1,no_helmet,11,0.0
1,no_helmet,12,0.0
1,no_helmet,22,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.516700029373169
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.7748000025749207
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
0,helmet,1,0.0
0,helmet,2,0.7821000218391418
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
1,helmet,1,0.7929999828338623
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5277000069618225
2,no_helmet,6,0.0
2,no_helmet,11,0.0
0,helmet,1,0.7947999835014343
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
1,helmet,1,0.0
1,helmet,2,0.7829999923706055
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5169000029563904
2,no_helmet,6,0.0
2,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.781499981880188
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5126000046730042
1,no_helmet,6,0.0
1,no_helmet,11,0.0
2,no_helmet,1,0.5604000091552734
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,6,0.0
2,no_helmet,11,0.0
0,helmet,1,0.8514000177383423
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
0,helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.7817000150680542
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.519599974155426
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
3,no_helmet,1,0.5555999875068665
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.0
3,no_helmet,6,0.0
3,no_helmet,11,0.0
3,no_helmet,12,0.0
4,no_helmet,1,0.0
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.5325999855995178
4,no_helmet,6,0.0
4,no_helmet,11,0.0
4,no_helmet,12,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.520799994468689
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5461000204086304
1,no_helmet,6,0.0
1,no_helmet,11,0.0
1,no_helmet,12,0.0
2,no_helmet,1,0.5408999919891357
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
0,helmet,1,0.7958999872207642
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
0,helmet,12,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5310999751091003
1,no_helmet,6,0.0
1,no_helmet,11,0.0
1,no_helmet,12,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5570999979972839
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
0,helmet,1,0.7955999970436096
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.0
0,helmet,12,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5303999781608582
1,no_helmet,11,0.0
1,no_helmet,12,0.0
0,helmet,1,0.7846999764442444
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.0
0,helmet,22,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,11,0.762499988079071
1,helmet,22,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5324000120162964
2,no_helmet,11,0.0
2,no_helmet,22,0.0
0,helmet,1,0.8223999738693237
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.0
0,helmet,31,0.0
1,helmet,1,0.7871999740600586
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,11,0.0
1,helmet,31,0.0
2,helmet,1,0.0
2,helmet,2,0.0
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,11,0.7957000136375427
2,helmet,31,0.0
3,helmet,1,0.0
3,helmet,2,0.7245000004768372
3,helmet,3,0.0
3,helmet,5,0.0
3,helmet,11,0.0
3,helmet,31,0.0
4,no_helmet,1,0.0
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.5246000289916992
4,no_helmet,11,0.0
4,no_helmet,31,0.0
0,helmet,1,0.8184000253677368
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.0
0,helmet,31,0.0
0,helmet,22,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,11,0.8113999962806702
1,helmet,31,0.0
1,helmet,22,0.0
2,helmet,1,0.7910000085830688
2,helmet,2,0.0
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,11,0.0
2,helmet,31,0.0
2,helmet,22,0.0
3,helmet,1,0.0
3,helmet,2,0.6820999979972839
3,helmet,3,0.0
3,helmet,5,0.0
3,helmet,11,0.0
3,helmet,31,0.0
3,helmet,22,0.7476000189781189
4,no_helmet,1,0.0
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.5249000191688538
4,no_helmet,11,0.0
4,no_helmet,31,0.0
4,no_helmet,22,0.0
5,no_helmet,1,0.0
5,no_helmet,2,0.5321000218391418
